,Year,Month,Country,no_of_holidays
0,2014,1,Denmark,1
1,2014,1,Belgium,1
2,2014,1,Argentina,1
3,2014,1,Columbia,2
4,2014,1,England,1
5,2014,1,Finland,2
6,2014,4,Denmark,4
7,2014,4,Belgium,2
8,2014,4,Argentina,4
9,2014,4,Columbia,2
10,2014,4,England,2
11,2014,4,Finland,3
12,2014,5,Denmark,2
13,2014,5,Belgium,2
14,2014,5,Argentina,2
15,2014,5,Columbia,1
16,2014,5,England,2
17,2014,5,Finland,2
18,2014,6,Denmark,2
19,2014,6,Belgium,2
20,2014,6,Argentina,2
21,2014,6,Columbia,3
22,2014,6,England,0
23,2014,6,Finland,3
24,2014,12,Denmark,2
25,2014,12,Belgium,1
26,2014,12,Argentina,2
27,2014,12,Columbia,2
28,2014,12,England,2
29,2014,12,Finland,4
30,2014,3,Denmark,0
31,2014,3,Belgium,0
32,2014,3,Argentina,3
33,2014,3,Columbia,1
34,2014,3,England,0
35,2014,3,Finland,0
36,2014,7,Denmark,0
37,2014,7,Belgium,1
38,2014,7,Argentina,1
39,2014,7,Columbia,0
40,2014,7,England,0
41,2014,7,Finland,0
42,2014,8,Denmark,0
43,2014,8,Belgium,1
44,2014,8,Argentina,1
45,2014,8,Columbia,2
46,2014,8,England,1
47,2014,8,Finland,0
48,2014,11,Denmark,0
49,2014,11,Belgium,2
50,2014,11,Argentina,1
51,2014,11,Columbia,2
52,2014,11,England,0
53,2014,11,Finland,1
54,2014,2,Denmark,0
55,2014,2,Belgium,0
56,2014,2,Argentina,0
57,2014,2,Columbia,0
58,2014,2,England,0
59,2014,2,Finland,0
60,2014,10,Denmark,0
61,2014,10,Belgium,0
62,2014,10,Argentina,1
63,2014,10,Columbia,1
64,2014,10,England,0
65,2014,10,Finland,0
66,2011,1,Denmark,1
67,2011,1,Belgium,1
68,2011,1,Argentina,1
69,2011,1,Columbia,1
70,2011,1,England,2
71,2011,1,Finland,2
72,2011,4,Denmark,4
73,2011,4,Belgium,2
74,2011,4,Argentina,4
75,2011,4,Columbia,2
76,2011,4,England,3
77,2011,4,Finland,3
78,2011,5,Denmark,1
79,2011,5,Belgium,1
80,2011,5,Argentina,2
81,2011,5,Columbia,1
82,2011,5,England,2
83,2011,5,Finland,1
84,2011,6,Denmark,3
85,2011,6,Belgium,3
86,2011,6,Argentina,2
87,2011,6,Columbia,2
88,2011,6,England,0
89,2011,6,Finland,4
90,2011,12,Denmark,2
91,2011,12,Belgium,1
92,2011,12,Argentina,2
93,2011,12,Columbia,2
94,2011,12,England,3
95,2011,12,Finland,4
96,2011,3,Denmark,0
97,2011,3,Belgium,0
98,2011,3,Argentina,3
99,2011,3,Columbia,1
100,2011,3,England,0
101,2011,3,Finland,0
102,2011,7,Denmark,0
103,2011,7,Belgium,1
104,2011,7,Argentina,1
105,2011,7,Columbia,2
106,2011,7,England,0
107,2011,7,Finland,0
108,2011,8,Denmark,0
109,2011,8,Belgium,1
110,2011,8,Argentina,1
111,2011,8,Columbia,2
112,2011,8,England,1
113,2011,8,Finland,0
114,2011,11,Denmark,0
115,2011,11,Belgium,2
116,2011,11,Argentina,1
117,2011,11,Columbia,2
118,2011,11,England,0
119,2011,11,Finland,1
120,2011,2,Denmark,0
121,2011,2,Belgium,0
122,2011,2,Argentina,0
123,2011,2,Columbia,0
124,2011,2,England,0
125,2011,2,Finland,0
126,2011,10,Denmark,0
127,2011,10,Belgium,0
128,2011,10,Argentina,1
129,2011,10,Columbia,1
130,2011,10,England,0
131,2011,10,Finland,0
132,2012,1,Denmark,1
133,2012,1,Belgium,1
134,2012,1,Argentina,1
135,2012,1,Columbia,1
136,2012,1,England,2
137,2012,1,Finland,2
138,2012,4,Denmark,4
139,2012,4,Belgium,2
140,2012,4,Argentina,4
141,2012,4,Columbia,2
142,2012,4,England,2
143,2012,4,Finland,3
144,2012,5,Denmark,4
145,2012,5,Belgium,4
146,2012,5,Argentina,2
147,2012,5,Columbia,2
148,2012,5,England,1
149,2012,5,Finland,3
150,2012,6,Denmark,0
151,2012,6,Belgium,0
152,2012,6,Argentina,2
153,2012,6,Columbia,2
154,2012,6,England,2
155,2012,6,Finland,2
156,2012,12,Denmark,2
157,2012,12,Belgium,1
158,2012,12,Argentina,2
159,2012,12,Columbia,1
160,2012,12,England,2
161,2012,12,Finland,4
162,2012,3,Denmark,0
163,2012,3,Belgium,0
164,2012,3,Argentina,1
165,2012,3,Columbia,1
166,2012,3,England,0
167,2012,3,Finland,0
168,2012,7,Denmark,0
169,2012,7,Belgium,1
170,2012,7,Argentina,1
171,2012,7,Columbia,2
172,2012,7,England,0
173,2012,7,Finland,0
174,2012,8,Denmark,0
175,2012,8,Belgium,1
176,2012,8,Argentina,1
177,2012,8,Columbia,2
178,2012,8,England,1
179,2012,8,Finland,0
180,2012,11,Denmark,0
181,2012,11,Belgium,2
182,2012,11,Argentina,1
183,2012,11,Columbia,2
184,2012,11,England,0
185,2012,11,Finland,1
186,2012,2,Denmark,0
187,2012,2,Belgium,0
188,2012,2,Argentina,2
189,2012,2,Columbia,0
190,2012,2,England,0
191,2012,2,Finland,0
192,2012,10,Denmark,0
193,2012,10,Belgium,0
194,2012,10,Argentina,1
195,2012,10,Columbia,1
196,2012,10,England,0
197,2012,10,Finland,0
198,2013,1,Denmark,1
199,2013,1,Belgium,1
200,2013,1,Argentina,1
201,2013,1,Columbia,2
202,2013,1,England,1
203,2013,1,Finland,2
204,2013,4,Denmark,2
205,2013,4,Belgium,1
206,2013,4,Argentina,1
207,2013,4,Columbia,0
208,2013,4,England,1
209,2013,4,Finland,1
210,2013,5,Denmark,3
211,2013,5,Belgium,4
212,2013,5,Argentina,2
213,2013,5,Columbia,2
214,2013,5,England,2
215,2013,5,Finland,3
216,2013,6,Denmark,0
217,2013,6,Belgium,0
218,2013,6,Argentina,2
219,2013,6,Columbia,2
220,2013,6,England,0
221,2013,6,Finland,2
222,2013,12,Denmark,2
223,2013,12,Belgium,1
224,2013,12,Argentina,2
225,2013,12,Columbia,1
226,2013,12,England,2
227,2013,12,Finland,4
228,2013,3,Denmark,3
229,2013,3,Belgium,1
230,2013,3,Argentina,4
231,2013,3,Columbia,3
232,2013,3,England,1
233,2013,3,Finland,2
234,2013,7,Denmark,0
235,2013,7,Belgium,1
236,2013,7,Argentina,1
237,2013,7,Columbia,1
238,2013,7,England,0
239,2013,7,Finland,0
240,2013,8,Denmark,0
241,2013,8,Belgium,1
242,2013,8,Argentina,1
243,2013,8,Columbia,2
244,2013,8,England,1
245,2013,8,Finland,0
246,2013,11,Denmark,0
247,2013,11,Belgium,2
248,2013,11,Argentina,1
249,2013,11,Columbia,2
250,2013,11,England,0
251,2013,11,Finland,1
252,2013,2,Denmark,0
253,2013,2,Belgium,0
254,2013,2,Argentina,2
255,2013,2,Columbia,0
256,2013,2,England,0
257,2013,2,Finland,0
258,2013,10,Denmark,0
259,2013,10,Belgium,0
260,2013,10,Argentina,1
261,2013,10,Columbia,1
262,2013,10,England,0
263,2013,10,Finland,0
264,2015,1,Denmark,1
265,2015,1,Belgium,1
266,2015,1,Argentina,1
267,2015,1,Columbia,2
268,2015,1,England,1
269,2015,1,Finland,2
270,2015,4,Denmark,4
271,2015,4,Belgium,2
272,2015,4,Argentina,3
273,2015,4,Columbia,2
274,2015,4,England,2
275,2015,4,Finland,3
276,2015,5,Denmark,4
277,2015,5,Belgium,4
278,2015,5,Argentina,2
279,2015,5,Columbia,2
280,2015,5,England,2
281,2015,5,Finland,3
282,2015,6,Denmark,0
283,2015,6,Belgium,0
284,2015,6,Argentina,2
285,2015,6,Columbia,3
286,2015,6,England,0
287,2015,6,Finland,2
288,2015,12,Denmark,2
289,2015,12,Belgium,1
290,2015,12,Argentina,2
291,2015,12,Columbia,2
292,2015,12,England,3
293,2015,12,Finland,4
294,2015,3,Denmark,0
295,2015,3,Belgium,0
296,2015,3,Argentina,1
297,2015,3,Columbia,1
298,2015,3,England,0
299,2015,3,Finland,0
300,2015,7,Denmark,0
301,2015,7,Belgium,1
302,2015,7,Argentina,1
303,2015,7,Columbia,1
304,2015,7,England,0
305,2015,7,Finland,0
306,2015,8,Denmark,0
307,2015,8,Belgium,1
308,2015,8,Argentina,1
309,2015,8,Columbia,2
310,2015,8,England,1
311,2015,8,Finland,0
312,2015,11,Denmark,0
313,2015,11,Belgium,2
314,2015,11,Argentina,1
315,2015,11,Columbia,2
316,2015,11,England,0
317,2015,11,Finland,0
318,2015,2,Denmark,0
319,2015,2,Belgium,0
320,2015,2,Argentina,2
321,2015,2,Columbia,0
322,2015,2,England,0
323,2015,2,Finland,0
324,2015,10,Denmark,0
325,2015,10,Belgium,0
326,2015,10,Argentina,1
327,2015,10,Columbia,1
328,2015,10,England,0
329,2015,10,Finland,1
330,2016,1,Denmark,1
331,2016,1,Belgium,1
332,2016,1,Argentina,1
333,2016,1,Columbia,2
334,2016,1,England,1
335,2016,1,Finland,2
336,2016,4,Denmark,1
337,2016,4,Belgium,0
338,2016,4,Argentina,1
339,2016,4,Columbia,0
340,2016,4,England,0
341,2016,4,Finland,0
342,2016,5,Denmark,3
343,2016,5,Belgium,4
344,2016,5,Argentina,2
345,2016,5,Columbia,3
346,2016,5,England,2
347,2016,5,Finland,3
348,2016,6,Denmark,0
349,2016,6,Belgium,0
350,2016,6,Argentina,2
351,2016,6,Columbia,1
352,2016,6,England,0
353,2016,6,Finland,2
354,2016,12,Denmark,2
355,2016,12,Belgium,1
356,2016,12,Argentina,2
357,2016,12,Columbia,2
358,2016,12,England,3
359,2016,12,Finland,4
360,2016,3,Denmark,4
361,2016,3,Belgium,2
362,2016,3,Argentina,3
363,2016,3,Columbia,3
364,2016,3,England,2
365,2016,3,Finland,3
366,2016,7,Denmark,0
367,2016,7,Belgium,1
368,2016,7,Argentina,1
369,2016,7,Columbia,2
370,2016,7,England,0
371,2016,7,Finland,0
372,2016,8,Denmark,0
373,2016,8,Belgium,1
374,2016,8,Argentina,1
375,2016,8,Columbia,2
376,2016,8,England,1
377,2016,8,Finland,0
378,2016,11,Denmark,0
379,2016,11,Belgium,2
380,2016,11,Argentina,1
381,2016,11,Columbia,2
382,2016,11,England,0
383,2016,11,Finland,1
384,2016,2,Denmark,0
385,2016,2,Belgium,0
386,2016,2,Argentina,2
387,2016,2,Columbia,0
388,2016,2,England,0
389,2016,2,Finland,0
390,2016,10,Denmark,0
391,2016,10,Belgium,0
392,2016,10,Argentina,1
393,2016,10,Columbia,1
394,2016,10,England,0
395,2016,10,Finland,0
396,2017,1,Denmark,1
397,2017,1,Belgium,1
398,2017,1,Argentina,1
399,2017,1,Columbia,1
400,2017,1,England,2
401,2017,1,Finland,2
402,2017,4,Denmark,4
403,2017,4,Belgium,2
404,2017,4,Argentina,4
405,2017,4,Columbia,2
406,2017,4,England,2
407,2017,4,Finland,3
408,2017,5,Denmark,2
409,2017,5,Belgium,2
410,2017,5,Argentina,2
411,2017,5,Columbia,2
412,2017,5,England,2
413,2017,5,Finland,2
414,2017,6,Denmark,2
415,2017,6,Belgium,2
416,2017,6,Argentina,2
417,2017,6,Columbia,2
418,2017,6,England,0
419,2017,6,Finland,3
420,2017,12,Denmark,2
421,2017,12,Belgium,1
422,2017,12,Argentina,2
423,2017,12,Columbia,2
424,2017,12,England,2
425,2017,12,Finland,4
426,2017,3,Denmark,0
427,2017,3,Belgium,0
428,2017,3,Argentina,1
429,2017,3,Columbia,1
430,2017,3,England,0
431,2017,3,Finland,0
432,2017,7,Denmark,0
433,2017,7,Belgium,1
434,2017,7,Argentina,1
435,2017,7,Columbia,2
436,2017,7,England,0
437,2017,7,Finland,0
438,2017,8,Denmark,0
439,2017,8,Belgium,1
440,2017,8,Argentina,1
441,2017,8,Columbia,2
442,2017,8,England,1
443,2017,8,Finland,0
444,2017,11,Denmark,0
445,2017,11,Belgium,2
446,2017,11,Argentina,1
447,2017,11,Columbia,2
448,2017,11,England,0
449,2017,11,Finland,1
450,2017,2,Denmark,0
451,2017,2,Belgium,0
452,2017,2,Argentina,2
453,2017,2,Columbia,0
454,2017,2,England,0
455,2017,2,Finland,0
456,2017,10,Denmark,0
457,2017,10,Belgium,0
458,2017,10,Argentina,1
459,2017,10,Columbia,1
460,2017,10,England,0
461,2017,10,Finland,0
462,2018,1,Denmark,1
463,2018,1,Belgium,1
464,2018,1,Argentina,1
465,2018,1,Columbia,2
466,2018,1,England,1
467,2018,1,Finland,2
468,2018,4,Denmark,3
469,2018,4,Belgium,2
470,2018,4,Argentina,2
471,2018,4,Columbia,0
472,2018,4,England,1
473,2018,4,Finland,2
474,2018,5,Denmark,3
475,2018,5,Belgium,4
476,2018,5,Argentina,2
477,2018,5,Columbia,2
478,2018,5,England,2
479,2018,5,Finland,3
480,2018,6,Denmark,0
481,2018,6,Belgium,0
482,2018,6,Argentina,2
483,2018,6,Columbia,2
484,2018,6,England,0
485,2018,6,Finland,2
486,2018,12,Denmark,2
487,2018,12,Belgium,1
488,2018,12,Argentina,2
489,2018,12,Columbia,1
490,2018,12,England,2
491,2018,12,Finland,4
492,2018,3,Denmark,2
493,2018,3,Belgium,0
494,2018,3,Argentina,3
495,2018,3,Columbia,3
496,2018,3,England,1
497,2018,3,Finland,1
498,2018,7,Denmark,0
499,2018,7,Belgium,1
500,2018,7,Argentina,1
501,2018,7,Columbia,2
502,2018,7,England,0
503,2018,7,Finland,0
504,2018,8,Denmark,0
505,2018,8,Belgium,1
506,2018,8,Argentina,1
507,2018,8,Columbia,2
508,2018,8,England,1
509,2018,8,Finland,0
510,2018,11,Denmark,0
511,2018,11,Belgium,2
512,2018,11,Argentina,1
513,2018,11,Columbia,2
514,2018,11,England,0
515,2018,11,Finland,1
516,2018,2,Denmark,0
517,2018,2,Belgium,0
518,2018,2,Argentina,2
519,2018,2,Columbia,0
520,2018,2,England,0
521,2018,2,Finland,0
522,2018,10,Denmark,0
523,2018,10,Belgium,0
524,2018,10,Argentina,1
525,2018,10,Columbia,1
526,2018,10,England,0
527,2018,10,Finland,0
